"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"Kuba Peluquería Barbería","096 396 7280","","5","18","","ninguno","","true","Centro de estética","Sector, Edificio Blaze apto 408, Av. Mariscal Sucre, Quito","La Mariscal, Quito","https://www.google.com/maps/place/Kuba+Peluquer%C3%ADa+Barber%C3%ADa/data=!4m7!3m6!1s0x91d585f21cabd2bb:0xafb4e4a581299426!8m2!3d-0.1019424!4d-78.487093!16s%2Fg%2F11x2ddqth1!19sChIJu9KrHPKF1ZERJpQpgaXktK8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería D' Marlen","(02) 222-1613","","4.6","32","","ninguno","","true","Peluquería","Edf. Reina Isabel, Mariscal Foch, La Mariscal N10-08, 170143 Quito, Pichincha","La Mariscal, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+D%27+Marlen/data=!4m7!3m6!1s0x91d59a122856cc93:0x7baa5a0cc36b2cab!8m2!3d-0.2060452!4d-78.4888368!16s%2Fg%2F11g1lrv02x!19sChIJk8xWKBKa1ZERqyxrwwxaqns?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería Studio de belleza M&H","","","5","168","https://mhstudiodebelleza.my.canva.site/","sitio_propio","","false","Peluquería","Calle Jhon f Kennedy, y y Av. Mariscal Sucre, 170144 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+Studio+de+belleza+M%26H/data=!4m7!3m6!1s0x91d5854aa1b7949b:0xd351e0d66fccff57!8m2!3d-0.1038901!4d-78.4897994!16s%2Fg%2F11kq2mvz22!19sChIJm5S3oUqF1ZERV__Mb9bgUdM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Jose santa peluqueria","099 270 6023","","4.9","92","https://www.facebook.com/josesantapeluqueria/","solo_red_social","","true","Centro de estética","redondel de los caracoles, Diego de vasquez y mariscal sucre, 170134 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Jose+santa+peluqueria/data=!4m7!3m6!1s0x91d585b1d32a81bd:0x47422e21174f876a!8m2!3d-0.0940961!4d-78.4817883!16s%2Fg%2F11s321f1y6!19sChIJvYEq07GF1ZERaodPFyEuQkc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Paólo Enríquez Peluquerías","(02) 254-1455","","4.9","73","http://www.paoloenriquezpeluquerias.com/#CONTACTO","sitio_propio","","true","Centro de estética","La Mariscal, Calle Javier Azcasuvi, E2-25, 170102 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Pa%C3%B3lo+Enr%C3%ADquez+Peluquer%C3%ADas/data=!4m7!3m6!1s0x91d59a6964b8b02d:0x43e5af2300cf1fa1!8m2!3d-0.1966273!4d-78.494309!16s%2Fg%2F11gr4b903t!19sChIJLbC4ZGma1ZERoR_PACOv5UM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Varguillas Alta Peluqueria Unisex & Spa","(02) 523-9618","","4.6","30","","ninguno","","true","Peluquería","José Tamayo N24-489, 170523 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Varguillas+Alta+Peluqueria+Unisex+%26+Spa/data=!4m7!3m6!1s0x91d59b0377701bf1:0x649e53c4de9700d1!8m2!3d-0.2040234!4d-78.4858953!16s%2Fg%2F11j1_gt9xn!19sChIJ8RtwdwOb1ZER0QCX3sRTnmQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Fit & Beauty","099 574 1334","","4.3","37","","ninguno","","true","Centro de estética","Calle Toledo, Hermana Juana 159, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Fit+%26+Beauty/data=!4m7!3m6!1s0x91d58feb2c59704d:0xbdcc97ef2dbe5002!8m2!3d-0.0891621!4d-78.4427867!16s%2Fg%2F11gtggky5q!19sChIJTXBZLOuP1ZERAlC-Le-XzL0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"ELIZABET ROMERO Salón de belleza A TU ESTILO","098 791 7351","","4.6","35","https://www.facebook.com/share/14VPWGEhMT9/","solo_red_social","","true","Peluquería","De las Camelias y De las Amapolas N16 y, 170205 Quito","La Mariscal, Quito","https://www.google.com/maps/place/ELIZABET+ROMERO+Sal%C3%B3n+de+belleza+A+TU+ESTILO/data=!4m7!3m6!1s0x91d59a6f289cd6d7:0x5769823f27293ad8!8m2!3d-0.0785841!4d-78.4425672!16s%2Fg%2F11c562jnfd!19sChIJ19acKG-a1ZER2DopJz-CaVc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Enyelash","098 459 3993","","4.9","89","https://wa.me/message/FU7Y334DVU74N1","solo_red_social","","true","Peluquería","Carapungo, calle principal, Av. Padre Luis Vaccari y Cutucu, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Enyelash/data=!4m7!3m6!1s0x91d58f01352a8dad:0x8be1328f468a3dbc!8m2!3d-0.0945092!4d-78.4531942!16s%2Fg%2F11tsg3q0np!19sChIJrY0qNQGP1ZERvD2KRo8y4Ys?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Uio Color Peluquería","099 854 7462","","4.2","90","","ninguno","","true","Peluquería","Carlos mantilla, y y C. Toledo, 170155 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Uio+Color+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d58f35271ac49d:0x1471be0b411f472a!8m2!3d-0.0895376!4d-78.4403484!16s%2Fg%2F11ff517b5c!19sChIJncQaJzWP1ZERKkcfQQu-cRQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"PELUQUERIA CLASSYC SUCURSAL","099 336 3935","","4.7","41","","ninguno","","true","Peluquería","Av. Carlos Mantilla Oe4-191 y, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/PELUQUERIA+CLASSYC+SUCURSAL/data=!4m7!3m6!1s0x91d58ff996330b99:0x9e5e2f75e1bb615b!8m2!3d-0.0894855!4d-78.4401667!16s%2Fg%2F11c5_wjhrh!19sChIJmQszlvmP1ZERW2G74XUvXp4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería y Spa Mónica Alvarado","099 528 9176","","4.8","17","","ninguno","","true","Peluquería","WG5X+MXJ, José M. Velasco Ibarra, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+y+Spa+M%C3%B3nica+Alvarado/data=!4m7!3m6!1s0x91d58f5e96f2c2c3:0xae18bd5c2d02c0ef!8m2!3d-0.0907854!4d-78.4501147!16s%2Fg%2F11p4zr6j2c!19sChIJw8Lyll6P1ZER78ACLVy9GK4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Renovarte, peluqueria unisex","","","5","6","","ninguno","","true","Peluquería","Carlos Mantilla y Y 133, 170206 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Renovarte,+peluqueria+unisex/data=!4m7!3m6!1s0x91d58936829a73d5:0xd4afd215359cc547!8m2!3d-0.0693165!4d-78.4335165!16s%2Fg%2F11h88511lb!19sChIJ1XOagjaJ1ZERR8WcNRXSr9Q?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria D&V","098 424 6397","","4.5","6","","ninguno","","true","Centro de estética","La Mariscal Jorge Washington E 3-66, Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluqueria+D%26V/data=!4m7!3m6!1s0x91d59a15e537dbe3:0x27d7bbb520062b56!8m2!3d-0.2038507!4d-78.4965238!16s%2Fg%2F11fb058pjh!19sChIJ49s35RWa1ZERVisGILW71yc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Martina Peluqueria ""Matriz""","099 810 3952","","4.6","175","https://www.facebook.com/spamartina/","solo_red_social","","true","Centro de estética","Me D Bond, A lado de D Bond, Av. Francisco de Orellana, 170517 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Martina+Peluqueria+%22Matriz%22/data=!4m7!3m6!1s0x91d59a7286f5115f:0xd963491e7c1d9d60!8m2!3d-0.199241!4d-78.4832115!16s%2Fg%2F11f102_btt!19sChIJXxH1hnKa1ZERYJ0dfB5JY9k?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Karissma","098 687 6430","","3.9","521","https://www.instagram.com/karissmapeluquerias/?hl=es","solo_red_social","","true","Peluquería","Av. Tomás de Berlanga E527, 170513 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Karissma/data=!4m7!3m6!1s0x91d59aa265a3d68d:0xef13f72e41f79f64!8m2!3d-0.1658357!4d-78.4839838!16s%2Fg%2F11c1nbg2wv!19sChIJjdajZaKa1ZERZJ_3QS73E-8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Maison La Pelu","","","5","13","","ninguno","","true","Peluquería","Av. República de El Salvador 34-127, 170135 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Maison+La+Pelu/data=!4m7!3m6!1s0x91d59b38ce118183:0x340f9be90d804e01!8m2!3d-0.1853241!4d-78.4816256!16s%2Fg%2F11njrm9lb6!19sChIJg4ERzjib1ZERAU6ADembDzQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería Angélica","098 782 7183","","3.7","7","","ninguno","","true","Barbería","WH54+Q32, Sevilla, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+Ang%C3%A9lica/data=!4m7!3m6!1s0x91d58f3d912d2b2f:0x83102877bf05d0ba!8m2!3d-0.0906177!4d-78.4448544!16s%2Fg%2F11gzrhgc3m!19sChIJLystkT2P1ZERutAFv3coEIM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Ximena Bastidas Peluquería","(02) 282-1566","","4.6","29","","ninguno","","true","Peluquería","Capitán Giovanni Calles, 170206 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Ximena+Bastidas+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d58edf08d3966f:0x39173f34f174f927!8m2!3d-0.0889036!4d-78.4277389!16s%2Fg%2F11df7pgtz0!19sChIJb5bTCN-O1ZERJ_l08TQ_Fzk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"DARWIN'S BARBER SHOP","096 375 5271","","4.6","161","https://www.tiktok.com/%7Bnombredeusuario%7D","solo_red_social","","true","Barbería","Ortega loc 6, Cp:170201, C. A y Carlos Mantilla, 170201 Quito","La Mariscal, Quito","https://www.google.com/maps/place/DARWIN%27S+BARBER+SHOP/data=!4m7!3m6!1s0x91d58f38f2f375d5:0x9f6c3ec8e94a8d48!8m2!3d-0.0877824!4d-78.4388666!16s%2Fg%2F11k7k2067j!19sChIJ1XXz8jiP1ZERSI1K6cg-bJ8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Rossy","099 926 8420","","4.6","25","","ninguno","","true","Peluquería","Los Nogales y Manuela Saenz WH94+JRC Y, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluqueria+Rossy/data=!4m7!3m6!1s0x91d58f7b93b9fa29:0x1580f6cdc6a09474!8m2!3d-0.077086!4d-78.4444263!16s%2Fg%2F11n28t0qng!19sChIJKfq5k3uP1ZERdJSgxs32gBU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Karissma Peluquería(Luis Tufiño)","(02) 240-6464","","3.5","232","","ninguno","","true","Peluquería","VGC7+93G, 170138 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Karissma+Peluquer%C3%ADa%28Luis+Tufi%C3%B1o%29/data=!4m7!3m6!1s0x91d58542c86c75b1:0x74dcc670bbbd1c13!8m2!3d-0.1290676!4d-78.4873022!16s%2Fg%2F11c37jstnk!19sChIJsXVsyEKF1ZERExy9u3DG3HQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Giros Coiffur Peluquería","(02) 244-2289","","4.5","176","","ninguno","","true","Peluquería","Local #2, Av. Tomás de Berlanga y Isla Pinzón N43-12 e, 170135 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Giros+Coiffur+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d59a80ac3a804d:0xd8b8a39c18c303d8!8m2!3d-0.1653689!4d-78.4766439!16s%2Fg%2F11cmbmnjys!19sChIJTYA6rICa1ZER2APDGJyjuNg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"LA PELU","(02) 224-1426","","4.6","356","","ninguno","","true","Peluquería","Calle comercio E 9- 143 el vengador esquina El batán esquina, 170505 Quito","La Mariscal, Quito","https://www.google.com/maps/place/LA+PELU/data=!4m7!3m6!1s0x91d59a830decfaff:0xb42ac20c91584e55!8m2!3d-0.1755373!4d-78.480162!16s%2Fg%2F11fy4tyj4d!19sChIJ__rsDYOa1ZERVU5YkQzCKrQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Barber Machos Plus","096 252 9892","","4.5","37","http://barbermachosplus.com/","sitio_propio","","true","Barbería","Giovanny Calles Lascano, y y Av. Cacha N3-19, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Barber+Machos+Plus/data=!4m7!3m6!1s0x91d58f28a4e9cfe5:0x180692ed5ce4a0db!8m2!3d-0.0894073!4d-78.4281883!16s%2Fg%2F11sv_r6s4t!19sChIJ5c_ppCiP1ZER26DkXO2SBhg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"PELUQUERIA MARIA MAGDALENA","098 404 9636","","4.6","36","","ninguno","","true","Peluquería","Av La Florida OE4-84, 170104 Quito","La Mariscal, Quito","https://www.google.com/maps/place/PELUQUERIA+MARIA+MAGDALENA/data=!4m7!3m6!1s0x91d5854bc7699eed:0x89bc785459cb70b!8m2!3d-0.1429651!4d-78.4942574!16s%2Fg%2F1hc2_r65f!19sChIJ7Z5px0uF1ZERC7ecRYXHmwg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Banu spa Quito","097 863 3084","","4.5","222","https://www.instagram.com/ohmycut_ecuador/","solo_red_social","","true","Peluquería","Al lado de concesionario Maserati, Edificio Shyris 186, Av. de los Shyris, 170513 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Banu+spa+Quito/data=!4m7!3m6!1s0x91d59a724bb74c59:0x4f686ad8be2562f5!8m2!3d-0.1895264!4d-78.4820557!16s%2Fg%2F11g22z6395!19sChIJWUy3S3Ka1ZER9WIlvthqaE8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Jorge Russinsky By Monica","096 137 0184","","4.7","156","https://www.instagram.com/jorgerussinsky_ec?igsh=dnp1MW5zMzk3dmow&utm_source=qr","solo_red_social","","true","Centro de estética","Alpallana E7-123, Quito, 170517 P","La Mariscal, Quito","https://www.google.com/maps/place/Jorge+Russinsky+By+Monica/data=!4m7!3m6!1s0x91d59a7bf5189d15:0x8e755edc668d9463!8m2!3d-0.19326!4d-78.4842393!16s%2Fg%2F11ckkz6slq!19sChIJFZ0Y9Xua1ZERY5SNZtxedY4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"DEÍDI peluquería","099 891 0011","","4.4","164","https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/deidipeluqueria/?locale2=es_LA&ved=2ahUKEwjaz-ePwrvnAhUp11kKHQruAVwQjjgwAnoECAMQAQ&usg=AOvVaw3rZxI5o8bjVZrHIPNqv44c","sitio_propio","","false","Peluquería","Av. Tomás de Berlanga E527, 170513 Quito","La Mariscal, Quito","https://www.google.com/maps/place/DE%C3%8DDI+peluquer%C3%ADa/data=!4m7!3m6!1s0x91d59a9f78154431:0x9578de06eeffeaa7!8m2!3d-0.1654695!4d-78.4782626!16s%2Fg%2F11cpj5p1ts!19sChIJMUQVeJ-a1ZERp-r_7gbeeJU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Marlon Hermida peluqueria","098 871 7404","","4.8","119","","ninguno","","true","Peluquería","Inglaterra N32-198GUAYANAS PB AL 1, 170519 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Marlon+Hermida+peluqueria/data=!4m7!3m6!1s0x91d59b74264db9cd:0x967617687d90b015!8m2!3d-0.1871981!4d-78.4901784!16s%2Fg%2F11h3g9dgy4!19sChIJzblNJnSb1ZERFbCQfWgXdpY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"The Salon Quito","096 095 5559","388fe63e6063cc241ca2a1b0f52622a3@o61919.ingest.us","4.8","136","https://es.fresha.com/a/the-salon-quito-jose-bosmediano-1051-yn9x6ihq","sitio_propio","2026","false","Centro de estética","Jose Bosmediano 11-50 Y, 170135 Quito","La Mariscal, Quito","https://www.google.com/maps/place/The+Salon+Quito/data=!4m7!3m6!1s0x91d59a7ed68fe6d9:0xe2eaf32ddeb3d5fb!8m2!3d-0.1873634!4d-78.4782017!16s%2Fg%2F11fgm3ys16!19sChIJ2eaP1n6a1ZER-9Wz3i3z6uI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Magoz peluqueria","","","4.5","63","","ninguno","","true","Peluquería","Isla Seymour 47-171, 170102 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Magoz+peluqueria/data=!4m7!3m6!1s0x91d59be5cdc3a39b:0x6abacfc10a08005c!8m2!3d-0.1671952!4d-78.4801862!16s%2Fg%2F11l3b0sd2q!19sChIJm6PDzeWb1ZERXAAICsHPumo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Edgar Goyeneche Peluquería","099 563 8605","","4.9","85","https://www.instagram.com/peluqueriaedgargoyeneche?igsh=MXYxMnFoY3p6eDI3Mg%3D%3D&utm_source=qr","solo_red_social","","true","Peluquería","y Paris, Av. Tomás de Berlanga Esquina, 170513 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Edgar+Goyeneche+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d59a9f7876a39b:0x4032e26b5f80b174!8m2!3d-0.1654191!4d-78.4779775!16s%2Fg%2F11ggb78sys!19sChIJm6N2eJ-a1ZERdLGAX2viMkA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Mary'e","(02) 330-0828","","4.8","18","","ninguno","","true","Peluquería","Av La Florida oe5-30, 170104 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Mary%27e/data=!4m7!3m6!1s0x91d5854a4abe2a2f:0x2b2072d0ae458615!8m2!3d-0.1425123!4d-78.4946968!16s%2Fg%2F11gvs5_3cf!19sChIJLyq-SkqF1ZERFYZFrtByICs?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Dayanis's Peluquería","098 541 2154","support@now.site; dayanispeluqueria.ec@gmail.com","4.2","14","https://spadayanis.now.site/home","sitio_propio","","false","Peluquería","AV. Cacha, y y Jorge Morillo, Quito","La Mariscal, Quito","https://www.google.com/maps/place/Dayanis%27s+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d58fb45906b291:0xdd446e39cf019054!8m2!3d-0.0914191!4d-78.4255444!16s%2Fg%2F11ny_zjh7q!19sChIJkbIGWbSP1ZERVJABzzluRN0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Kings and Queens Fashion","096 903 0007","","4.6","26","","ninguno","","true","Peluquería","WH8J+PP2, Calle y Leonidas Puebla, 170201 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Kings+and+Queens+Fashion/data=!4m7!3m6!1s0x91d58ec54b6cf163:0x1506ba5dd138f83!8m2!3d-0.0832474!4d-78.4182476!16s%2Fg%2F11ffpsg4_y!19sChIJY_FsS8WO1ZERg48T3aVrUAE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"PELUQUERIA EN QUITO THE BEAUTY COLOR SALON","098 849 4305","","4.7","307","https://www.thebeautycolor.com/","sitio_propio","2022","false","Peluquería","Av. República de El Salvador y Irlanda E10-143, 170102 Quito","La Mariscal, Quito","https://www.google.com/maps/place/PELUQUERIA+EN+QUITO+THE+BEAUTY+COLOR+SALON/data=!4m7!3m6!1s0x91d59a9a3cab9c77:0x265e56813601cec0!8m2!3d-0.1838015!4d-78.4805525!16s%2Fg%2F11f9zz92tv!19sChIJd5yrPJqa1ZERwM4BNoFWXiY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"SHINE Peluquería & Studio Salón de Belleza","099 827 4791","","4.9","114","","ninguno","","true","Peluquería","Centro Comercial Unicornio, Av. Amazonas &, Av. Naciones Unidas Local #222, Quito","La Mariscal, Quito","https://www.google.com/maps/place/SHINE+Peluquer%C3%ADa+%26+Studio+Sal%C3%B3n+de+Belleza/data=!4m7!3m6!1s0x91d59b83336c1aad:0x82ad09a6510297ca!8m2!3d-0.1769687!4d-78.4859337!16s%2Fg%2F11gzlszrh4!19sChIJrRpsM4Ob1ZERypcCUaYJrYI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"K-PITAL BARBER SHOP","","","4.7","13","https://kpitalbarbershopstyl.wordpress.com/","sitio_propio","","false","Peluquería","De los Geranios, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/K-PITAL+BARBER+SHOP/data=!4m7!3m6!1s0x91d58f7e395c4381:0x5fd769eede5d5e24!8m2!3d-0.0848604!4d-78.4383065!16s%2Fg%2F11hdsxmd51!19sChIJgUNcOX6P1ZERJF5d3u5p118?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Unisex Lucy","098 468 2945","","4.3","7","","ninguno","","true","Peluquería","WH94+2PC, De los Ceibos, 170205 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Peluqueria+Unisex+Lucy/data=!4m7!3m6!1s0x91d58f71d2ff3a7d:0x4a560731d51c0b15!8m2!3d-0.0824368!4d-78.4432194!16s%2Fg%2F11nfmsqhkg!19sChIJfTr_0nGP1ZERFQsc1TEHVko?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Rory","(02) 254-8898","","4.4","824","","ninguno","","true","Centro de estética","Mariana de Jesús N32-24, 170518 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Rory/data=!4m7!3m6!1s0x91d59a641d13687d:0xf9fef4dccc8ce1cc!8m2!3d-0.1876446!4d-78.4925568!16s%2Fg%2F11f70zm9k8!19sChIJfWgTHWSa1ZERzOGMzNz0_vk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Ohlalá Beauty Studio República del Salvador / BALAYAGE, TRATAMIENTOS, ALISADOS, MANICURE, PEDICURE, DEPILACIÓN, MAQUILLAJE","096 177 4444","","4.5","231","https://www.instagram.com/ohlalabeautystudiouio/","solo_red_social","","true","Peluquería","Moscú y Av. República de El Salvador 34-60 y, 170505 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Ohlal%C3%A1+Beauty+Studio+Rep%C3%BAblica+del+Salvador+%2F+BALAYAGE,+TRATAMIENTOS,+ALISADOS,+MANICURE,+PEDICURE,+DEPILACI%C3%93N,+MAQUILLAJE/data=!4m7!3m6!1s0x91d59b6f38062773:0xea56c819a3ff8dca!8m2!3d-0.1849589!4d-78.4802568!16s%2Fg%2F11gxwhpg1y!19sChIJcycGOG-b1ZERyo3_oxnIVuo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"En BOGA peluqueria","","","4.8","30","","ninguno","","true","Barbería","María Godoy 288, 170201 Quito","La Mariscal, Quito","https://www.google.com/maps/place/En+BOGA+peluqueria/data=!4m7!3m6!1s0x91d58ffa7900c4e7:0x654aa2f907f43fc2!8m2!3d-0.0901956!4d-78.4214133!16s%2Fg%2F11fhr1sk3c!19sChIJ58QAefqP1ZERwj_0B_miSmU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Le VINTAGE Estilistas","098 043 6016","","4.2","19","","ninguno","","true","Peluquería","Vicente Ramón Roca, 170143 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Le+VINTAGE+Estilistas/data=!4m7!3m6!1s0x91d59a1449617f8f:0x62a6b7d3cb9a2cf!8m2!3d-0.2048461!4d-78.4945888!16s%2Fg%2F11c613m5lq!19sChIJj39hSRSa1ZERz6K5PH1rKgY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"UrbanosClub Peluquería","099 310 4923","reservas@urbanosclub.com","4.9","108","https://www.urbanosclub.com/","sitio_propio","","false","Peluquería","La Tierra, 170505 Quito","La Mariscal, Quito","https://www.google.com/maps/place/UrbanosClub+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d59b324dd66d5d:0xd5716edf1d66ef3f!8m2!3d-0.173769!4d-78.4791334!16s%2Fg%2F11h3njy0kl!19sChIJXW3WTTKb1ZERP-9mHd9ucdU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"El Salón Peluquería","099 609 1617","","5","34","","ninguno","","true","Peluquería","Fidel Castro y Fidel Martinez E8-355 y, 170201 Quito","La Mariscal, Quito","https://www.google.com/maps/place/El+Sal%C3%B3n+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d5898f60bb4481:0xbf20e85781e8387b!8m2!3d-0.066954!4d-78.4147202!16s%2Fg%2F11hdvt5nxg!19sChIJgUS7YI-J1ZERezjogVfoIL8?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
